Name	Rating	Year	Fed	Rank
Dimitri Komarov	2530	1993	UKR	186	
Vasilios Kotronias	2530	1993	GRE	187	
Robert Kuczynski	2530	1993	POL	188	
Ralf Lau	2530	1993	GER	189	
Konstantin..Z Lerner	2530	1993	UKR	190	
Jacob Murey	2530	1993	ISR	191	
Lothar Schmid	2530	1993	GER	192	
Vassily Smyslov	2530	1993	RUS	193	
Elizbar Ubilava	2530	1993	GEO	194	
Jun Xu	2530	1993	CHN	195	
Walter.S Browne	2525	1993	USA	196	
Pia.(GM) Cramling	2525	1993	SWE	197	
Krum Georgiev	2525	1993	BUL	198	
Attila Groszpeter	2525	1993	HUN	199	
Alexander Ivanov	2525	1993	USA	200	
Gennadi..P Kuzmin	2525	1993	UKR	201	
Karel Mokry	2525	1993	CZE	202	
David Norwood	2525	1993	ENG	203	
Yuri..S Razuvaev	2525	1993	RUS	204	
James E Tarjan	2525	1993	USA	205	
Genadij Timoscenko	2525	1993	SVK	206	
Matthias Wahls	2525	1993	GER	207	
Viktor Bologan	2520	1993	MDA	208	
Michail Brodsky	2520	1993	UKR	209	
Alexandar Budnikov	2520	1993	RUS	210	
Avigdor Bykhovsky	2520	1993	RUS	211	
Istvan Csom	2520	1993	HUN	212	
Gildardo Garcia	2520	1993	COL	213	
Vlastimil Jansa	2520	1993	CZE	214	
Adrian Mikhalchishin	2520	1993	SLO	215	
Paul Motwani	2520	1993	SCO	216	
Niaz Murshed	2520	1993	BAN	217	
Yury Piskov	2520	1993	RUS	218	
Petar Popovic	2520	1993	YUG	219	
Philipp Schlosser	2520	1993	GER	220	
Sergey Smagin	2520	1993	RUS	221	
Vasil Spasov	2520	1993	BUL	222	
Mihai Suba	2520	1993	ROM	223	
Mihail Tal	2520	1993	LAT	224	
German Titov	2520	1993	MDA	225	
Lothar Vogt	2520	1993	GER	226	
Luc Winants	2520	1993	BEL	227	
Sergey Arkhipov	2515	1993	RUS	228	
Konstantin..N Aseev	2515	1993	RUS	229	
Glenn.C Flear	2515	1993	ENG	230	
Efim..P Geller	2515	1993	RUS	231	
Ilya Gurevich	2515	1993	USA	232	
Mikhail..M Ivanov	2515	1993	RUS	233	
Felix Izeta.Txabarri	2515	1993	ESP	234	
Rainer Knaak	2515	1993	GER	235	
Bogdan Lalic	2515	1993	CRO	236	
Romuald Mainka	2515	1993	GER	237	
Marat Makarov	2515	1993	RUS	238	
Mihail Marin	2515	1993	ROM	239	
A..Jonathan Mestel	2515	1993	ENG	240	
Helgi Olafsson	2515	1993	ISL	241	
Manuel Rivas.Pastor	2515	1993	ESP	242	
Sergei Rublevsky	2515	1993	RUS	243	
Semon Palatnik	2515	1993	USA	244	
Alexandar..G Panchenko	2515	1993	UKR	245	
Aleksandr Poluljahov	2515	1993	RUS	246	
Georgy Timoshenko	2515	1993	UKR	247	
Alexander Vaulin	2515	1993	RUS	248	
Reynaldo Vera	2515	1993	CUB	249	
Zili Wang	2515	1993	CHN	250	
Gerardo.F Barbero	2510	1993	ARG	251	
Dragisa Blagojevic	2510	1993	YUG	252	
Maia.(GM) Chiburdanidze	2510	1993	GEO	253	
Yury Dokhoian	2510	1993	RUS	254	
Ivan Farago	2510	1993	HUN	255	
Alexander Fishbein	2510	1993	USA	256	
Sergey-G Gorelov	2510	1993	RUS	257	
Zbynek Hracek	2510	1993	CZE	258	
Alexander Huzman	2510	1993	ISR	259	
Lasha Janjgava	2510	1993	GEO	260	
Andrei..Y Kharitonov	2510	1993	RUS	261	
Sergey Kiselev	2510	1993	RUS	262	
Sergey Kishnev	2510	1993	RUS	263	
