Name	Rating	Year	Rank	Fed
Mestelj.	2450	1978	ENG	210	
E. Mochalov	2450	1978	USR	211	
A. Pablo Marin	2450	1978	ESP	212	
Z. Pavicic	2450	1978	YUG	213	
Podgaets	2450	1978	USR	214	
F. Portisch	2450	1978	HUN	215	
V. Raicevic	2450	1978	YUG	216	
Schweber	2450	1978	ARG	217	
V. Spasov	2450	1978	BUL	218	
K. Spraggett	2450	1978	CAN	219	
H.M.J. Westerinen	2450	1978	FIN	220	
A. Yermolinsky	2450	1978	USR	221	
S.N. Yuferov	2450	1978	USR	222	
A. Yusupov	2450	1978	USR	223	
C. Zuidema	2450	1978	NED	224	
Zwaig	2450	1978	NOR	225	
I. Bilek	2445	1978	HUN	226	
I. Buljovcic	2445	1978	YUG	227	
P. Dely	2445	1978	HUN	228	
M.-V. Ghinda	2445	1978	ROM	229	
A. Hennings	2445	1978	DDR	230	
V.N. Kozlov	2445	1978	USR	231	
K. Lerner	2445	1978	USR	232	
Petkevich	2445	1978	USR	233	
R. Toran Albero	2445	1978	ESP	234	
B. Vladimirov	2445	1978	USR	235	
E. Vladimirov	2445	1978	USR	236	
S. Webb	2445	1978	ENG	237	
V.S. Antoshin	2440	1978	USR	238	
R. Balinas	2440	1978	PHI	239	
Y. Bleiman	2440	1978	ISR	240	
O.I. Dziuban	2440	1978	USR	241	
T. Iym	2440	1978	BUL	242	
I.R. Johannsson	2440	1978	ISL	243	
Z. Lanka	2440	1978	USR	244	
G. Ligterink	2440	1978	NED	245	
A. Malevinsky	2440	1978	USR	246	
Mohrlok	2440	1978	FRG	247	
Ji. Nun	2440	1978	ENG	248	
P. Peev	2440	1978	BUL	249	
Szeles	2440	1978	HUN	250	
J. Flesch	2435	1978	HUN	251	
Gy.V. Forintos	2435	1978	HUN	252	
Rai. Garcia	2435	1978	ARG	253	
Kolarov	2435	1978	BUL	254	
Kuindsky	2435	1978	USR	255	
E. Magerramov	2435	1978	USR	256	
Z. Mestrovic	2435	1978	YUG	257	
A. Novopashin	2435	1978	USR	258	
L. Ogaard	2435	1978	NOR	259	
H. Pilnik	2435	1978	ARG	260	
L. Popov	2435	1978	BUL	261	
J. Rukavina	2435	1978	YUG	262	
Rusakov	2435	1978	USR	263	
K.-J. Schiffer	2435	1978	FRG	264	
J. Sofrevski	2435	1978	YUG	265	
