1st January 1988 FIDE Rating List

Name                                 Fed  Rtng 
Bellin,R.                            ENG  2405
Bellini,F.                           ITA  2300
Bellon Lopez,J.M.                    ESP  2445
Belopolsky,B.                        USA  2315
Belotti,B.                           ITA  2340
Belov,I.                             USR  2415
Belov,L.A.                           USR  2330
Belova,T.                            USR  2055
Beltran,S.                           ESP  2280
Ben-Menachem,I.                      ISR  2265
Bencze,L.                            HUN  2275
Benedetti,F.                         ITA  2250
Benedictsson,B.                      ISL  2285
Bener,A.                             SWE  2055
Bengtsson,B.                         SWE  2285
Benhadi,M.                           ALG  2205
Benjamin,Joel                        USA  2565
Benjamin,John                        ENG  2265
Benko,P.                             USA  2425
Bennett,G.H.                         ENG  2310
Beran,J.                             CSR  2270
Berebora,F.                          HUN  2235
Berechet,O.                          ROM  2320
Berenyi,G.                           HUN  2250
Berezina,I.                          USR  2180
Berg,K.                              DEN  2370
Berg,M.                              SWE  2230
Berg,S.                              NOR  2290
Berg,Su.                             SWE  2005
Berg,T.                              DEN  2095
Berg,T.                              FRG  2240
Bergmann,Th.                         ISL  2250
Bergstrom,Ch.                        SWE  2420
Bergstrom,M.                         SWE  2245
Berkell                              SWE  2320
Berkovich,M.A.                       USR  2345
Berlinsky,V.                         USR  2205
Bern,I.                              NOR  2340
Bernal,E.                            PHI  2355
Bernard,Ch.                          FRA  2350
Bernard,N.                           BEL  2265
Bernard,R.                           POL  2345
Bernat,M.                            POL  2280
Bernei,A.                            HUN  2365
Bernschutz                           BER  2205
Bernstein,D.                         ISR  2380
Bernstein,E.                         ISR  2005
Berrocal,J.                          BOL  2320
Berry,J.                             CAN  2270
Berstatis,R.                         USR  2240
Bersutzki,G.                         ISR  2235
Bertaccini,D.                        ARG  2255
Berti,L.                             CHI  2270
Bertok,M.                            YUG  2340
Besdan,T.                            HUN  2280
Besztercsenyi,T.                     HUN  2305
Beszterczey,L.                       HUN  2235
Betancort Curbelo,J.                 ESP  2260
Betancourt,D.                        COL  2230
Betza,R.                             USA  2330
Beulen,M.                            NED  2225
Bewersdorff,O.                       FRG  2335
Bex,P.-A.                            SUI  2235
Beyen                                BEL  2270
Bezdan,T.                            HUN  2285
Bhagwat,M.                           IND  2230
Bhend,E.                             SUI  2345
Biaggi,E.                            ARG  2305
Bialas,W.                            FRG  2360
Bianchi,G.                           ARG  2350
Bianco,V.                            ITA  2285
Bichsel,W.                           SUI  2315
Bieganski,Z.                         POL  2210
Biehler                              FRG  2225
Bielczyk,J.                          POL  2385
Bielicki,C.                          ARG  2270
Bierenbroodspot,P.                   NED  2295
Bilek,I.                             HUN  2410
Bilek,M.                             FRG  2345
Bilik,M.                             YUG  2275
Bilinski,V.                          SUI  2030
Bilobrk,F.                           YUG  2335
Bilunova,R.I.                        USR  2275
Binham,T.F.                          FIN  2350
Biocanin,G.                          YUG  2075
Biocanin,Goran                       YUG  2245
Birer,A.                             ROM  2260
Biriescu,I.                          ROM  2380
Birke,A.                             DDR  2255
Birke,M.                             FRG  2290
Birmingham,E.                        FRA  2300
Birnboim,N.                          ISR  2365
Biro,A.                              HUN  2290
Biro,Gy.                             HUN  2210
Biro,K.                              CSR  2260
Biro,S.                              ROM  2330
Birriel,N.                           URU  2005
Bischoff,K.                          FRG  2465
Bisguier,A.                          USA  2430
Bistric,F.                           YUG  2390
Bistrikova,E.V.                      USR  2160
Bitman,A.R.                          USR  2330
Biyiasas,P.                          USA  2450
Bjarnason,S.                         ISL  2335
Bjarnehag,P.                         SWE  2345
Bjazevic Montavo,P.                  ECU  2220
Bjelajac,M.                          YUG  2370
Bjelajac-Prok.O.                     YUG  2100
Bjelica,D.                           YUG  2380
Bjerke,R.                            NOR  2310
Bjerring,K.                          DEN  2305
Bjornsson,T.                         ISL  2270
Blackstock,L.                        SCO  2260
Blackstone,J.                        USA  2260
Blagojevic,D.                        YUG  2400
Blagojevic,N.                        YUG  2225
Blankenau,M.                         USA  2240
Blasco,D.                            ITA  2340
Blaskowski,J.                        FRG  2260
Blatny,F.                            CSR  2275
Blatny,P.                            CSR  2440
Blauert,J.                           FRG  2375
Blazi,J.                             FRG  2260
Blees,A.                             NED  2390
Bleiman,Y.                           ISR  2430
Bletz,H.                             FRG  2285
Blocker,C.                           USA  2390
Blodig,R.                            FRG  2230
Blumenfeld,R.                        USA  2365
Bobanac,M.                           YUG  2280
Bockius,A.                           FRG  2265
Bockowski,R.                         POL  2235
Boctor,W.                            USA  2210
Bodic,D.                             YUG  2280
Boehm,J.                             FRG  2250
Boehm,M.                             FRG  2235
Boehm,U.                             FRG  2230
Boensch,U.                           DDR  2575
Boersma,P.A.                         NED  2385
Boesken,C.P.                         FRG  2250
Boey,J.                              BEL  2370
Bofill,A.                            ESP  2410
Bogaerts,J.                          BEL  2310
Bogdanos,A.                          GRE  2210
Bogdanovic,R.                        YUG  2335
Bogdanovici,G.                       USR  2265
Bogdanovski,V.                       YUG  2460
Bogic,S.                             YUG  2220
Bogner,H.                            USA  2270
Bogoevski,J.                         YUG  2280
Bogumil,T.                           USR  2070
Boguszlavzky,J.                      HUN  2425
Bogza,R.                             ROM  2235
Bohak,J.                             YUG  2215
Bohm,H.                              NED  2390
Bohn,Th.                             FRG  2205
Bohnisch,M.                          DDR  2280
Bohosjan,S.                          BUL  2365
Boicu,S.                             ROM  2265
Boim,I.                              ISR  2275
Boissonet,C.P.                       ARG  2310
Bojczuk,Z.                           POL  2390
Bojkovic,N.                          YUG  2220
Bojkovic,S.                          YUG  2345
Bokan,D.                             YUG  2245
Bokor,I.                             HUN  2265
Bolbochan,J.                         ARG  2485
Bolduc,S.                            CAN  2230
Boljos,L.                            YUG  2285
Bombardiere Rosas,E.                 CHI  2245
Bonaldi,P.                           ARG  2255
Bonati,G.                            ITA  2285
Bonchev,S.                           BUL  2260
Bondoc,D.                            ROM  2295
Bonin,J.                             USA  2385
Bonne,M.                             BEL  2225
Boog,A.                              SUI  2215
Booy,J.                              NED  2310
Borchardt,A.                         POL  2215
Borcz                                POL  2220
Bordell Rosell,R.                    ESP  2290
Borek,J.                             AUT  2075
Borg,G.                              MLT  2365
Borges Mateos,J.                     CUB  2355
Borges,D.                            PUR  2005
Borghi,H.                            ARG  2305
Boric,M.                             YUG  2350
Borik,A.                             FRG  2045
Borik,O.                             FRG  2350
Borisova,B.                          SWE  2210
Borisova,L.                          USR  2030
Borkovic,V.                          YUG  2280
Borkowski,F.                         POL  2415
Borloy,K.                            HUN  2210
Borm,F.W.M.                          NED  2410
Borne,N.                             FRG  2225
Borngaesser,R.                       FRG  2365
Boronyak,A.                          HUN  2275
Borsi,I.                             HUN  2220
Borulia,E.                           USR  2175
Borysiak,B.                          POL  2280
Bosbach,G.                           FRG  2230
Bosboom,M.                           NED  2355
Boschetti,C.                         SUI  2245
Bosco,R.                             ARG  2280
Bosic,T.                             YUG  2265
Boskovic,M. (F)                      YUG  2210
Bosnic,Lj.                           YUG  2065
Botez,C.                             ROM  2300
Boto,Z.                              YUG  2305
Botsari,A.-M.                        GRE  2075
Bottema,T.                           NED  2240
Botterill,G.S.                       WLS  2360
Botvinnik,I.                         USR  2010
Bouaziz,N.                           SWE  2205
Bouaziz,S.                           TUN  2360
Boudre,J.P.                          FRA  2320
Boudy,J.                             CUB  2385
Bouhallel,R.                         FRG  2205
Boulard,E.                           FRA  2260
Bounena,N.                           MAU  2205
Bousios,H.                           GRE  2250
Boutteville,C.                       FRA  2290
Bowden,K.                            ENG  2335
Boyd,S.                              CAN  2250
Bozek,A.                             POL  2375
Bozic,M.                             YUG  2275
Bozovic,M. (F)                       YUG  2010
Bozovic,N.                           YUG  2335
Bradbury,N.H.                        ENG  2305
Bradford,J.M.                        USA  2430
Bradlow,H.B.                         USA  2220
Braga,C.                             BRA  2370
Braga,F.                             ITA  2425
Brajovic,R.                          YUG  2300
Branca,S.                            SUI  2245
Brandics,J.                          HUN  2380
Branford,J.W.                        ENG  2235
Brasket,C.J.                         USA  2315
Braso,J.                             URU  2225
Bratimirova,D.                       BUL  2095
Bratu,N.                             ROM  2220
Brauer,G.                            MEX  2305
Braun,L.                             USA  2300
Braun,M.                             FRG  2345
Braun,W.                             AUT  2245
Brdicko,P.                           CSR  2235
Brekke,O.                            NOR  2215
Brekken,E.                           NOR  2225
Brendel,O.                           FRG  2300
Brendel,V.                           FRG  2285
Brenninkmeijer,J.                    NED  2385
Brestian,E.                          AUT  2395
Bretsnajdr,V.                        CSR  2335
Breutigam,M.                         FRG  2315
Breyer,M.                            FRG  2215
Breyther,R.                          FRG  2365
Brglez,R.                            YUG  2325
Bricard,E.                           FRA  2365
Briem,S.                             ISL  2225
Briestensky,R.                       CSR  2245
Brigljevic,M.                        YUG  2230
Brinck-Claussen,B.                   DEN  2370
Brito,A.                             ESP  2345
Brito,L.J.                           BRA  2335
Britt,Th.                            USA  2215
Britton,R.                           ENG  2260
Brkic,Dj.                            YUG  2245
Brkljaca,A.                          YUG  2365
Brkovic,Z.                           YUG  2360
Broeder,I.                           DDR  2205
Brondum,E.                           DEN  2265
Bronstein,L.                         ARG  2405
Brooks,M.A.                          USA  2345
Brown,Si.D.                          ENG  2265
Brown,St.C.                          ENG  2230
Brown,T.G.                           USA  2275
Browne,W.S.                          USA  2530
Bruce,R.M.                           ENG  2025
Brueckner,Th.                        FRG  2405
Bruinenberg,C.                       NED  2070
Brujic,B.                            YUG  2255
Bruk,O.                              ISR  2340
Brunner,L.                           FRG  2415
Bruno,F.                             ITA  2245
Brustman,A.                          POL  2395
Brustman-G.E.                        POL  2045
Brynell,S.                           SWE  2355
Bryson,D.M.                          SCO  2295
Brzezicki,D.                         POL  2320
Buchal,S.                            FRG  2305
Buchenthal,D.                        FRG  2280
Buckmire,R.                          BAR  2290
Budde,V.                             FRG  2325
Budinszky,A.                         HUN  2250
Buecker,P.                           FRG  2290
Buecker,S.                           FRG  2300
Buela,D.V.                           CUB  2300
Bueno,A.                             CUB  2265
Bueno-Perez,L.                       CUB  2305
Buerki,Ph.                           SUI  2210
Buescu,N.                            ROM  2225
Bugajski                             POL  2300
Buha,M.                              YUG  2210
Bujukliev,E.                         BUL  2210
Bujupi,B.                            YUG  2250
Bujupi,F.                            YUG  2235
Bukal,V.                             YUG  2415
Bukhari,M.                           JOR  2205
Bukhman,E.                           USR  2430
Bukic,E.                             YUG  2450
Bulat,A.                             YUG  2405
Bulatovic,D.                         YUG  2295
Bulcourf,C.                          ARG  2295
Buljovcic,I.                         YUG  2410
Buljubasic,S.                        YUG  2225
Bunis,V.                             BUL  2305
Burchard-Hofmann,B.                  DDR  2280
Burger,K.                            USA  2320
Burgess,G.                           ENG  2280
Burgess,M.R.                         SCO  2250
Burijovich,L.                        ARG  2160
Burjan,A.                            HUN  2055
Burkart,P.                           FRG  2275
Burmakin,V.                          USR  2345
Burnett,J.                           ENG  2225
Burnett,K.                           USA  2295
Bus,M.                               POL  2375
Busch,K.                             FRG  2360
Busch,R.                             FRG  2370
Busquets,L.                          USA  2320
Busumtwi,K.                          GHA  2205
Butnaru                              ROM  2300
Butnoris,A.J.                        USR  2420
Butorac,I.                           YUG  2290
Butt,C.                              ROM  2030
