Rank	Name	Rating	Year
15	Max Euwe	2566	1921
16	Alexey Selezniev	2566	1921
17	Allan Nilsson	2566	1921
18	Ernst Grünfeld	2554	1921
19	Arthur Håkansson	2551	1921
20	Walter John	2551	1921
21	Max Marchand	2545	1921
22	Victor Sjöberg	2529	1921
23	Gerard Kroone	2523	1921
24	Paul Leonhardt	2521	1921
25	Jørgen Møller	2520	1921
26	Otto Loewenborg	2506	1921
27	Anton Olson	2500	1921
28	Roland Scott	2497	1921
29	Ernst Jacobsen	2497	1921
30	Friedrich Sämisch	2492	1921
31	Carl Carls	2478	1921
32	Adolf Olland	2468	1921
33	Henri Weenink	2447	1921
34	Karl Berndtsson-Kullberg	2435	1921
35	Rudolf Loman	2428	1921
36	Jan te Kolsté	2428	1921
37	Gerard Oskam	2421	1921
38	Willem Schelfhout	2420	1921
39	Heinrich Von Hennig	2392	1921
40	Anders Larsson	2347	1921
1	José Capablanca	2854	1922
2	Alexander Alekhine	2788	1922
3	Akiba Rubinstein	2728	1922
4	Emanuel Lasker	2727	1922
5	Boris Kostic	2705	1922
6	Saviely Tartakower	2703	1922
7	Efim Bogoljubow	2679	1922
8	Richard Réti	2667	1922
9	Ernst Grünfeld	2647	1922
10	Richard Teichmann	2639	1922
11	Rudolf Spielmann	2631	1922
12	Géza Maróczy	2629	1922
13	Siegbert Tarrasch	2620	1922
14	Nikolay Grigoriev	2610	1922
15	Jacques Mieses	2585	1922
16	Zoltán Balla	2569	1922
17	Max Euwe	2568	1922
18	Georg Marco	2565	1922
19	Alexey Selezniev	2562	1922
20	Aron Nimzowitsch	2557	1922
21	Allan Nilsson	2540	1922
22	Arthur Håkansson	2538	1922
23	Paul Johner	2537	1922
24	Walter John	2534	1922
25	Friedrich Sämisch	2527	1922
26	Victor Sjöberg	2521	1922
27	Arpád Vajda	2517	1922
28	Max Marchand	2510	1922
29	Paul Leonhardt	2499	1922
30	Jørgen Møller	2497	1922
31	Victor Wahltuch	2492	1922
32	Roland Scott	2491	1922
33	Károly Sterk	2488	1922
34	Alfred Brinckmann	2488	1922
35	Jacques Davidson	2479	1922
36	Anton Olson	2471	1922
37	Adolf Olland	2465	1922
38	Karl Berndtsson-Kullberg	2447	1922
39	Endre Steiner	2447	1922
40	Ernst Jacobsen	2446	1922
41	Frederick Yates	2431	1922
42	Henri Weenink	2429	1922
43	Carl Carls	2416	1922
44	Gerard Oskam	2409	1922
45	Jan te Kolsté	2408	1922
46	J. Schweiger	2404	1922
47	Abraham Speijer	2403	1922
48	Rudolf Loman	2401	1922
49	Heinrich Von Hennig	2401	1922
50	Josef Krejcik	2379	1922
51	Anders Larsson	2373	1922
52	Willem Schelfhout	2359	1922
53	Reurt Meijer	2325	1922
54	H. Van Hartingsvelt	2294	1922
1	José Capablanca	2832	1923
2	Alexander Alekhine	2794	1923
3	Akiba Rubinstein	2763	1923
4	Milan Vidmar Sr	2695	1923
5	Saviely Tartakower	2693	1923
6	Emanuel Lasker	2690	1923
7	Efim Bogoljubow	2689	1923
8	Rudolf Spielmann	2678	1923
9	Ernst Grünfeld	2674	1923
10	Boris Kostic	2664	1923
11	Richard Réti	2654	1923
12	Géza Maróczy	2631	1923
13	Heinrich Wolf	2625	1923
14	Siegbert Tarrasch	2612	1923
15	George Thomas	2610	1923
16	Richard Teichmann	2604	1923
17	Jacques Mieses	2572	1923
18	Joseph Blake	2570	1923
19	Max Euwe	2557	1923
20	Zoltán Balla	2552	1923
21	Friedrich Sämisch	2549	1923
22	Paul Johner	2538	1923
23	Karel Treybal	2536	1923
24	Alexey Selezniev	2529	1923
25	Frederick Yates	2524	1923
26	Arpád Vajda	2520	1923
27	Henry Atkins	2514	1923
28	Paul Leonhardt	2511	1923
29	Edmund Spencer	2510	1923
30	Vladimir Vukovic	2510	1923
31	Alfred Brinckmann	2507	1923
32	Victor Sjöberg	2505	1923
33	Allan Nilsson	2504	1923
34	Victor Wahltuch	2498	1923
35	George Norman	2496	1923
36	Georg Marco	2494	1923
37	Karel Hromádka	2493	1923
38	Gerard Kroone	2486	1923
39	Arthur Håkansson	2483	1923
40	Károly Sterk	2478	1923
41	Eugene Znosko-Borovsky	2477	1923
42	Willi Schlage	2477	1923
43	Ladislav Proke	2475	1923
44	Adrian Conde	2473	1923
45	Dawid Przepiórka	2468	1923
46	Walter John	2466	1923
47	Jacques Davidson	2464	1923
48	Carl Ahues	2462	1923
49	Edward Sergeant	2461	1923
50	Charles Watson	2460	1923
51	Roland Scott	2459	1923
52	Arthur Mackenzie	2457	1923
53	Sándor Takács	2456	1923
54	John Morrison	2454	1923
55	Adolf Olland	2443	1923
56	Ernst Jacobsen	2443	1923
57	Endre Steiner	2442	1923
58	Paul Krüger	2415	1923
59	Karel Opocenský	2414	1923
60	Theodor Gruber	2413	1923
61	Henri Weenink	2405	1923
62	J. Schweiger	2404	1923
63	Jan te Kolsté	2403	1923
64	Ehrhardt Post	2402	1923
65	Hubert Price	2393	1923
66	Carl Carls	2392	1923
67	Abraham Speijer	2388	1923
68	Imre König	2382	1923
69	Otto Wegemund	2381	1923
70	Gerard Oskam	2375	1923
71	Hans Kmoch	2364	1923
72	Heinrich Wagner	2363	1923
73	Rudolf Loman	2358	1923
74	Davide Marotti	2354	1923
75	Willem Schelfhout	2350	1923
76	Otto Zander	2317	1923
77	Reurt Meijer	2302	1923
1	Alexander Alekhine	2775	1924
2	José Capablanca	2774	1924
3	Emanuel Lasker	2741	1924
4	Akiba Rubinstein	2703	1924
5	Efim Bogoljubow	2688	1924
6	Ernst Grünfeld	2687	1924
7	Aron Nimzowitsch	2687	1924
8	Géza Maróczy	2677	1924
9	Saviely Tartakower	2674	1924
10	Richard Réti	2672	1924
11	Milan Vidmar Sr	2663	1924
12	Rudolf Spielmann	2644	1924
13	Boris Kostic	2626	1924
14	Richard Teichmann	2621	1924
15	Max Euwe	2608	1924
16	Paul Johner	2607	1924
17	Karel Treybal	2600	1924
18	André Muffang	2600	1924
19	Siegbert Tarrasch	2595	1924
20	Edgar Colle	2595	1924
21	Heinrich Wolf	2582	1924
22	Reginald Michell	2575	1924
23	Alexey Selezniev	2573	1924
24	Frederick Yates	2570	1924
25	Friedrich Sämisch	2564	1924
26	Frank Marshall	2557	1924
27	Edward Lasker	2554	1924
28	George Thomas	2551	1924
29	Jacques Mieses	2549	1924
30	Esteban Canal	2545	1924
31	Albert Becker	2540	1924
32	Arpád Vajda	2538	1924
33	Zoltán Balla	2533	1924
34	Lajos Steiner	2525	1924
35	Ehrhardt Post	2524	1924
36	Jacob Bernstein	2520	1924
37	Vladimir Vukovic	2514	1924
38	Willi Schlage	2511	1924
39	Henry Atkins	2509	1924
40	Bruno Siegheim	2508	1924
41	Karel Hromádka	2505	1924
42	Morris Schapiro	2499	1924
43	Ladislav Proke	2494	1924
44	Amos Pokorný	2494	1924
45	Heinrich Wagner	2492	1924
46	Stefano Rosselli del Turco	2484	1924
47	Joseph Blake	2479	1924
48	Jakob Seitz	2478	1924
49	Dawid Przepiórka	2470	1924
50	Sándor Takács	2469	1924
51	Oscar Chajes	2468	1924
52	John Morrison	2464	1924
53	Eugene Znosko-Borovsky	2464	1924
54	Walter John	2463	1924
55	Charles Watson	2463	1924
56	Victor Wahltuch	2463	1924
57	Oskar Hans Antze	2461	1924
58	Edmund Spencer	2454	1924
59	Carl Carls	2451	1924
60	Paul Leonhardt	2451	1924
61	Karel Opocenský	2449	1924
62	Ernst Jacobsen	2447	1924
63	Edward Sergeant	2447	1924
64	Abraham Speijer	2441	1924
65	John Arthur Drewitt	2437	1924
66	Paul Krüger	2436	1924
67	Lajos Asztalos	2435	1924
68	Gerard Oskam	2432	1924
69	K. Emmrich	2430	1924
70	Jacques Davidson	2429	1924
71	Holger Norman Hansen	2428	1924
72	Max Walter	2427	1924
73	Henri Weenink	2418	1924
74	Adolf Olland	2418	1924
75	Willem Fick	2417	1924
76	Wilhelm Hilse	2412	1924
77	Otto Wegemund	2410	1924
78	George Norman	2404	1924
79	Willem Schelfhout	2401	1924
80	Arthur Mackenzie	2401	1924
81	Siegfried Wolf	2400	1924
82	Jørgen Møller	2394	1924
83	Imre König	2394	1924
84	Evert Straat	2386	1924
85	Luigi Miliani	2379	1924
86	Giuseppe Cancelliere	2379	1924
87	Theobald Hess	2378	1924
88	Philip Sergeant	2378	1924
89	Hans Kmoch	2376	1924
90	Otto Zander	2376	1924
91	Von Hartingsvelt	2374	1924
92	J. Von Patay	2374	1924
93	Felix Fischer	2374	1924
94	Alfred Brinckmann	2361	1924
95	George Salto Fontein	2351	1924
96	Bruno Moritz	2346	1924
97	Zoltan Vecsey	2345	1924
98	Davide Marotti	2344	1924
99	Rudolf Loman	2341	1924
100	Theodor Gruber	2338	1924
1	Emanuel Lasker	2825	1925
2	José Capablanca	2801	1925
3	Alexander Alekhine	2770	1925
4	Ernst Grünfeld	2709	1925
5	Aron Nimzowitsch	2703	1925
6	Efim Bogoljubow	2693	1925
7	Richard Réti	2690	1925
8	Akiba Rubinstein	2676	1925
9	Géza Maróczy	2673	1925
10	Saviely Tartakower	2667	1925
11	Frank Marshall	2659	1925
12	Rudolf Spielmann	2653	1925
13	Max Euwe	2634	1925
14	Paul Johner	2631	1925
15	Richard Teichmann	2606	1925
16	Karel Treybal	2605	1925
17	Frederick Yates	2596	1925
18	Dawid Przepiórka	2587	1925
19	Alexey Selezniev	2585	1925
20	Heinrich Wolf	2585	1925
21	Géza Nagy	2585	1925
22	Siegbert Tarrasch	2585	1925
23	Edward Lasker	2582	1925
24	Friedrich Sämisch	2571	1925
25	Peter Romanovsky	2563	1925
26	George Thomas	2561	1925
27	Reginald Michell	2551	1925
28	Vladimir Vukovic	2544	1925
29	Lajos Asztalos	2543	1925
30	Karel Hromádka	2543	1925
31	Edgar Colle	2539	1925
32	Jacques Mieses	2537	1925
33	Jacob Bernstein	2529	1925
34	Eugene Znosko-Borovsky	2527	1925
35	Albert Becker	2522	1925
36	Esteban Canal	2522	1925
37	Arpád Vajda	2521	1925
38	Edward Sergeant	2514	1925
39	Amos Pokorný	2511	1925
40	Sándor Takács	2509	1925
41	Ladislav Proke	2507	1925
42	Dawid Janowsky	2505	1925
43	Morris Schapiro	2504	1925
44	Allan Nielson	2504	1925
45	Lajos Steiner	2496	1925
46	Karel Opocenský	2496	1925
47	Hans Müller	2494	1925
48	Endre Steiner	2494	1925
49	Max Walter	2489	1925
50	Oscar Chajes	2487	1925
51	Willem Fick	2485	1925
52	Jacques Davidson	2474	1925
53	George Koltanowski	2472	1925
54	Kornél Havasi	2470	1925
55	Edmund Spencer	2469	1925
56	Jakob Seitz	2463	1925
57	Damian Reca	2461	1925
58	Ernst Jacobsen	2458	1925
59	Victor Wahltuch	2458	1925
60	Roberto Grau	2457	1925
61	Ehrhardt Post	2455	1925
62	Abraham Speijer	2455	1925
63	Heinrich Wagner	2453	1925
64	John Arthur Drewitt	2447	1925
65	Otto Wegemund	2445	1925
66	Jan Sr Schulz	2444	1925
67	Gerard Oskam	2439	1925
68	Holger Norman Hansen	2438	1925
69	B. Patay	2435	1925
70	Evert Straat	2428	1925
71	Henri Weenink	2426	1925
72	Stefano Rosselli del Turco	2425	1925
73	Joseph Blake	2422	1925
74	Paul Krüger	2414	1925
75	Jørgen Møller	2406	1925
76	Harold Saunders	2404	1925
77	János Balogh	2403	1925
78	Wilhelm Hilse	2395	1925
79	George Salto Fontein	2391	1925
80	Alfred Brinckmann	2390	1925
81	Adolf Olland	2388	1925
82	George Norman	2388	1925
83	C. Duffield	2387	1925
84	Felix Fischer	2378	1925
85	J. Von Patay	2378	1925
86	Siegfried Wolf	2378	1925
87	John O'Hanlon	2372	1925
88	Giuseppe Cancelliere	2364	1925
89	Rudolf Loman	2361	1925
90	Hendrik Strick van Linschoten	2357	1925
91	Theodor Gruber	2357	1925
92	Luigi Miliani	2352	1925
93	PD. Bolland	2349	1925
94	Zoltan Vecsey	2348	1925
95	Gyozo Exner	2348	1925
96	Andre Louis	2347	1925
97	Sandor Gruber	2329	1925
98	Davide Marotti	2321	1925
99	Arthur Mackenzie	2316	1925
100	Leone Singer	2284	1925
1	Emanuel Lasker	2787	1926
2	Alexander Alekhine	2761	1926
3	Efim Bogoljubow	2757	1926
4	José Capablanca	2754	1926
5	Aron Nimzowitsch	2697	1926
6	Frank Marshall	2692	1926
7	Akiba Rubinstein	2677	1926
8	Saviely Tartakower	2669	1926
9	Richard Réti	2664	1926
10	Carlos Torre Repetto	2664	1926
11	Ernst Grünfeld	2655	1926
12	Peter Romanovsky	2646	1926
13	Géza Maróczy	2640	1926
14	Max Euwe	2639	1926
15	Paul Johner	2631	1926
16	Boris Verlinsky	2625	1926
17	Hans Kmoch	2618	1926
18	Rudolf Spielmann	2614	1926
19	Fedor Bohatirchuk	2603	1926
20	Arvid Kubbel	2596	1926
21	Karel Treybal	2593	1926
22	Grigory Levenfish	2583	1926
23	Albert Becker	2578	1926
24	Heinrich Wagner	2574	1926
25	Edward Lasker	2573	1926
26	Ilya Rabinovich	2564	1926
27	Frederick Yates	2558	1926
28	Abraham Kupchik	2557	1926
29	Alexey Selezniev	2555	1926
30	Vladimir Vukovic	2551	1926
31	Friedrich Sämisch	2551	1926
32	Alexander Ilyin-Zhenevsky	2549	1926
33	Carl Carls	2548	1926
34	Eugene Znosko-Borovsky	2546	1926
35	Dawid Przepiórka	2545	1926
36	Abram Rabinovich	2544	1926
37	Karel Opocenský	2533	1926
38	Jacob Bernstein	2531	1926
39	Siegbert Tarrasch	2520	1926
40	Arpád Vajda	2514	1926
41	Géza Nagy	2511	1926
42	Jacques Davidson	2507	1926
43	Edgar Colle	2505	1926
44	Georg Schories	2500	1926
45	George Thomas	2499	1926
46	Sándor Takács	2497	1926
47	Amos Pokorný	2496	1926
48	Dawid Janowsky	2494	1926
49	Kornél Havasi	2487	1926
50	Jacques Mieses	2487	1926
51	Edward Sergeant	2484	1926
52	Veniamin Sozin	2483	1926
53	Lajos Steiner	2482	1926
54	Nikolay Grigoriev	2480	1926
55	Fedor Dus-Chotimirsky	2480	1926
56	Lajos Asztalos	2479	1926
57	Hermann von Gottschall	2478	1926
58	Yakov Vilner	2476	1926
59	Ladislav Proke	2475	1926
60	Solomon Gothilf	2474	1926
61	Max Walter	2472	1926
62	Hermanis Matisons	2471	1926
63	Karel Hromádka	2466	1926
64	Fricis Apenieks	2465	1926
65	Carlos Skalicka	2464	1926
66	Stefano Rosselli del Turco	2460	1926
67	Reginald Michell	2460	1926
68	Hans Müller	2457	1926
69	Jakob Seitz	2457	1926
70	Ehrhardt Post	2452	1926
71	Abraham Speijer	2449	1926
72	R Max Blümich	2434	1926
73	Endre Steiner	2427	1926
74	Edmund Spencer	2426	1926
75	Nikolay Zubarev	2424	1926
76	John Arthur Drewitt	2421	1926
77	George Koltanowski	2419	1926
78	B. Patay	2419	1926
79	Evert Straat	2412	1926
80	Vladimir Nenarokov	2410	1926
81	Damian Reca	2410	1926
82	Henri Weenink	2407	1926
83	Jan Sr Schulz	2406	1926
84	Siegfried Wolf	2405	1926
85	Imre König	2402	1926
86	Sergey Freiman	2398	1926
87	Theodor Gruber	2397	1926
88	János Balogh	2383	1926
89	Harold Saunders	2378	1926
90	Joseph Blake	2375	1926
91	August Haida	2373	1926
92	Bruno Moritz	2372	1926
93	C. Duffield	2367	1926
94	George Norman	2366	1926
95	Andre Louis	2359	1926
96	George Salto Fontein	2358	1926
97	Luigi Miliani	2342	1926
98	Gyozo Exner	2335	1926
99	A. Schara	2331	1926
100	Jan te Kolsté	2320	1926
1	Efim Bogoljubow	2768	1927
2	Emanuel Lasker	2765	1927
3	Alexander Alekhine	2754	1927
4	José Capablanca	2748	1927
5	Aron Nimzowitsch	2742	1927
6	Akiba Rubinstein	2688	1927
7	Milan Vidmar Sr	2680	1927
8	Frank Marshall	2680	1927
9	Max Euwe	2674	1927
10	Carlos Torre Repetto	2666	1927
11	Saviely Tartakower	2663	1927
12	Rudolf Spielmann	2655	1927
13	Ernst Grünfeld	2643	1927
14	Richard Réti	2639	1927
15	Abraham Kupchik	2628	1927
16	Peter Romanovsky	2627	1927
17	Géza Maróczy	2614	1927
18	Boris Verlinsky	2611	1927
19	Mario Monticelli	2610	1927
20	Fedor Bohatirchuk	2598	1927
21	Sándor Takács	2592	1927
22	Albert Becker	2581	1927
23	Karel Treybal	2580	1927
24	Ilya Rabinovich	2577	1927
25	Carl Ahues	2575	1927
26	Boris Kostic	2574	1927
27	Paul Johner	2574	1927
28	Dawid Przepiórka	2573	1927
29	Esteban Canal	2573	1927
30	Hans Kmoch	2573	1927
31	Grigory Levenfish	2570	1927
32	Edgar Colle	2568	1927
33	Hermanis Matisons	2565	1927
34	Géza Nagy	2561	1927
35	Abram Rabinovich	2560	1927
36	Alexander Ilyin-Zhenevsky	2556	1927
37	Frederick Yates	2554	1927
38	Heinrich Wagner	2550	1927
39	Siegbert Tarrasch	2550	1927
40	Friedrich Sämisch	2545	1927
41	Vladimir Vukovic	2542	1927
42	Karel Opocenský	2542	1927
43	Lajos Asztalos	2540	1927
44	Carl Carls	2540	1927
45	Alexey Selezniev	2535	1927
46	Dawid Janowsky	2534	1927
47	Arpád Vajda	2534	1927
48	Edward Lasker	2518	1927
49	Karl Gilg	2515	1927
50	Jacques Davidson	2512	1927
51	Edward Sergeant	2511	1927
52	Paul List	2505	1927
53	George Thomas	2501	1927
54	Jan Sr Schulz	2497	1927
55	Hans Müller	2495	1927
56	Josef Lokvenc	2493	1927
57	Kornél Havasi	2491	1927
58	Fedor Dus-Chotimirsky	2491	1927
59	Melody Davidson	2489	1927
60	Wilhelm Hilse	2480	1927
61	Jakob Seitz	2480	1927
62	Solomon Gothilf	2479	1927
63	George Norman	2478	1927
64	Eugene Znosko-Borovsky	2477	1927
65	Amos Pokorný	2475	1927
66	Arthur Duenmann	2475	1927
67	Carlos Skalicka	2471	1927
68	Alfred Teller	2468	1927
69	Victor Berger	2468	1927
70	Imre König	2464	1927
71	Walther von Holzhausen	2464	1927
72	Lajos Steiner	2463	1927
73	Jacques Mieses	2463	1927
74	Veniamin Sozin	2463	1927
75	Endre Steiner	2461	1927
76	Walter Michel	2458	1927
77	Robert Crépeaux	2456	1927
78	Paul Leonhardt	2450	1927
79	Ladislav Proke	2447	1927
80	Károly Sterk	2443	1927
81	Theodor Gruber	2434	1927
82	Vladimir Nenarokov	2434	1927
83	Maurice Goldstein	2433	1927
84	Nikolay Zubarev	2432	1927
85	George Koltanowski	2431	1927
86	Max Walter	2430	1927
87	Karel Hromádka	2426	1927
88	Siegfried Wolf	2418	1927
89	Henry Grob	2417	1927
90	Gyula Patay	2417	1927
91	Antonio Sacconi	2417	1927
92	R Max Blümich	2414	1927
93	Oskar Hans Antze	2413	1927
94	A. Duhm	2413	1927
95	János Balogh	2412	1927
96	Hermann von Gottschall	2405	1927
97	Stefano Rosselli del Turco	2401	1927
98	B. Alimonda	2398	1927
99	Harold Saunders	2396	1927
100	Edmund Spencer	2393	1927
1	Alexander Alekhine	2799	1928
2	José Capablanca	2788	1928
3	Aron Nimzowitsch	2766	1928
4	Efim Bogoljubow	2733	1928
5	Milan Vidmar Sr	2722	1928
6	Emanuel Lasker	2705	1928
7	Akiba Rubinstein	2701	1928
8	Saviely Tartakower	2686	1928
9	Rudolf Spielmann	2679	1928
10	Max Euwe	2676	1928
11	Frank Marshall	2674	1928
12	Carlos Torre Repetto	2659	1928
13	Ernst Grünfeld	2648	1928
14	Géza Maróczy	2627	1928
15	Richard Réti	2624	1928
16	Peter Romanovsky	2621	1928
17	Abraham Kupchik	2619	1928
18	Albert Becker	2608	1928
19	Carl Ahues	2607	1928
20	Fedor Bohatirchuk	2598	1928
21	Mario Monticelli	2595	1928
22	Ilya Rabinovich	2593	1928
23	Boris Kostic	2589	1928
24	William Winter	2587	1928
25	Lajos Asztalos	2582	1928
26	Edgar Colle	2575	1928
27	Karel Treybal	2574	1928
28	Lajos Steiner	2573	1928
29	Siegbert Tarrasch	2567	1928
30	Arpád Vajda	2566	1928
31	Hermanis Matisons	2566	1928
32	Nikolay Pavlov-Pianov	2565	1928
33	Paul Johner	2559	1928
34	Frederick Yates	2557	1928
35	Hans Kmoch	2554	1928
36	Géza Nagy	2553	1928
37	Heinrich Wagner	2549	1928
38	Karl Gilg	2547	1928
39	Friedrich Sämisch	2546	1928
40	Mikhail Botvinnik	2542	1928
41	Sándor Takács	2541	1928
42	Yakov Vilner	2541	1928
43	Alexander Ilyin-Zhenevsky	2540	1928
44	Paul List	2535	1928
45	Sándor Takács	2532	1928
46	Karel Hromádka	2532	1928
47	George Thomas	2528	1928
48	Victor Berger	2528	1928
49	Esteban Canal	2527	1928
50	Fedor Dus-Chotimirsky	2525	1928
51	Carl Carls	2525	1928
52	Dawid Przepiórka	2524	1928
53	Alfred Brinckmann	2518	1928
54	William Fairhurst	2517	1928
55	Karl Berndtsson-Kullberg	2516	1928
56	Karel Opocenský	2513	1928
57	Sergey Freiman	2508	1928
58	Jacques Davidson	2505	1928
59	Vladimir Vukovic	2503	1928
60	Kornél Havasi	2499	1928
61	Edward Lasker	2499	1928
62	Hans Müller	2492	1928
63	Theodor Gruber	2492	1928
64	Josef Lokvenc	2490	1928
65	Jakob Seitz	2486	1928
66	Antonio Sacconi	2484	1928
67	Gottlieb Machate	2478	1928
68	Carl Ruben	2476	1928
69	Edward Sergeant	2474	1928
70	Endre Steiner	2473	1928
71	Alfred Teller	2472	1928
72	Jacques Mieses	2472	1928
73	Alexey Selezniev	2470	1928
74	Victor Wahltuch	2470	1928
75	Walter Michel	2470	1928
76	Siegfried Wolf	2470	1928
77	Walther von Holzhausen	2469	1928
78	Orla Krause	2469	1928
79	Wilhelm Hilse	2469	1928
80	Jan Sr Schulz	2466	1928
81	Max Walter	2465	1928
82	Ladislav Proke	2456	1928
83	August Georg Preusse	2454	1928
84	Imre König	2453	1928
85	Vladimir Nenarokov	2452	1928
86	Károly Sterk	2451	1928
87	Robert Crépeaux	2449	1928
88	Eugene Znosko-Borovsky	2449	1928
89	Salo Landau	2447	1928
90	Amos Pokorný	2444	1928
91	Maurice Goldstein	2443	1928
92	Jenö Székely	2440	1928
93	Henry Stephens Barlow	2440	1928
94	Roberto Grau	2435	1928
95	George Koltanowski	2432	1928
96	János Balogh	2431	1928
97	Wilhelm Schoenmann	2427	1928
98	Paul Krüger	2426	1928
99	R Max Blümich	2426	1928
100	Johannes van den Bosch	2424	1928
1	José Capablanca	2805	1929
2	Alexander Alekhine	2802	1929
3	Aron Nimzowitsch	2767	1929
4	Efim Bogoljubow	2755	1929
5	Max Euwe	2735	1929
6	Milan Vidmar Sr	2714	1929
7	Akiba Rubinstein	2706	1929
8	Saviely Tartakower	2686	1929
9	Rudolf Spielmann	2668	1929
10	Richard Réti	2663	1929
11	Frank Marshall	2656	1929
12	Friedrich Sämisch	2650	1929
13	Ernst Grünfeld	2637	1929
14	Géza Maróczy	2636	1929
15	Abraham Kupchik	2621	1929
16	Hermanis Matisons	2599	1929
17	Dawid Przepiórka	2598	1929
18	Ilya Rabinovich	2597	1929
19	Peter Romanovsky	2595	1929
20	Paul Johner	2594	1929
21	Boris Kostic	2593	1929
22	Bernhard Lichtenstein	2592	1929
23	Carl Ahues	2591	1929
24	Hans Kmoch	2587	1929
25	Arpád Vajda	2584	1929
26	Isaac Kashdan	2582	1929
27	Endre Steiner	2581	1929
28	William Winter	2580	1929
29	Lajos Asztalos	2579	1929
30	Sándor Takács	2578	1929
31	Albert Becker	2573	1929
32	Karel Treybal	2568	1929
33	Frederick Yates	2565	1929
34	Fedor Bohatirchuk	2563	1929
35	Edgar Colle	2562	1929
36	Norman Whitaker	2562	1929
37	André Muffang	2561	1929
38	Paul List	2558	1929
39	Manuel Golmayo de la Torriente	2556	1929
40	Mario Monticelli	2555	1929
41	Karl Gilg	2555	1929
42	Siegbert Tarrasch	2555	1929
43	Géza Nagy	2554	1929
44	Karel Opocenský	2553	1929
45	Karl Helling	2552	1929
46	Samuel Factor	2549	1929
47	Carl Carls	2549	1929
48	W Rivier	2548	1929
49	George Thomas	2546	1929
50	Mikhail Botvinnik	2546	1929
51	Josef Lokvenc	2544	1929
52	Kurt Richter	2541	1929
53	Alfred Brinckmann	2541	1929
54	Wilhelm Orbach	2539	1929
55	Victor Berger	2539	1929
56	Herman Steiner	2537	1929
57	Lajos Steiner	2537	1929
58	Heinrich Wagner	2535	1929
59	Kornél Havasi	2531	1929
60	Fedor Dus-Chotimirsky	2530	1929
61	Alexander Ilyin-Zhenevsky	2523	1929
62	William Fairhurst	2521	1929
63	Karl Berndtsson-Kullberg	2516	1929
64	Sándor Takács	2508	1929
65	Salo Flohr	2506	1929
66	Jakob Seitz	2506	1929
67	Alfred Van Nuess	2504	1929
68	Jacques Mieses	2503	1929
69	A. Kraemer	2500	1929
70	Ladislav Proke	2499	1929
71	Hans Müller	2497	1929
72	Theodor Gruber	2496	1929
73	Jacques Davidson	2494	1929
74	Kazimierz Makarczyk	2494	1929
75	Orla Krause	2491	1929
76	Erik Sr Andersen	2491	1929
77	Gösta Stoltz	2490	1929
78	Baldur Hönlinger	2489	1929
79	Carlos Maderna	2485	1929
80	Gottlieb Machate	2484	1929
81	George Koltanowski	2483	1929
82	Jindrich Engel	2482	1929
83	Simon Rotenstein	2482	1929
84	Abram Blass	2481	1929
85	Karel Hromádka	2479	1929
86	Vladimir Vukovic	2478	1929
87	Roberto Grau	2476	1929
88	Gideon Ståhlberg	2475	1929
89	Salo Landau	2473	1929
90	Willi Schlage	2473	1929
91	Gerard Kroone	2471	1929
92	Zoltán Balla	2470	1929
93	Edward Sergeant	2468	1929
94	Ladislaus Von Doery	2465	1929
95	August Georg Preusse	2464	1929
96	Holger Norman Hansen	2463	1929
97	Willem Wertheim	2463	1929
98	Walter Michel	2462	1929
99	Zeno Proca	2461	1929
100	Fritz Igel	2458	1929
1	Alexander Alekhine	2821	1930
2	José Capablanca	2804	1930
3	Aron Nimzowitsch	2779	1930
4	Efim Bogoljubow	2735	1930
5	Akiba Rubinstein	2735	1930
6	Max Euwe	2732	1930
7	Rudolf Spielmann	2699	1930
8	Milan Vidmar Sr	2691	1930
9	Saviely Tartakower	2680	1930
10	Ernst Grünfeld	2640	1930
11	Friedrich Sämisch	2633	1930
12	Hermanis Matisons	2631	1930
13	Frank Marshall	2629	1930
14	Albert Becker	2623	1930
15	Géza Maróczy	2619	1930
16	Arpád Vajda	2608	1930
17	Endre Steiner	2602	1930
18	Carl Ahues	2602	1930
19	Karel Treybal	2601	1930
20	Isaac Kashdan	2599	1930
21	Paul Johner	2599	1930
22	Edgar Colle	2590	1930
23	Hans Kmoch	2589	1930
24	Boris Kostic	2587	1930
25	Dawid Przepiórka	2587	1930
26	Bernhard Lichtenstein	2584	1930
27	Frederick Yates	2581	1930
28	Esteban Canal	2580	1930
29	Isador Turover	2578	1930
30	Karl Gilg	2572	1930
31	Sándor Takács	2572	1930
32	Gideon Ståhlberg	2565	1930
33	Kornél Havasi	2561	1930
34	André Muffang	2561	1930
35	George Thomas	2560	1930
36	Sándor Takács	2559	1930
37	Lajos Steiner	2557	1930
38	Paul List	2554	1930
39	Norman Whitaker	2553	1930
40	Karl Helling	2552	1930
41	Samuel Factor	2550	1930
42	Alfred Brinckmann	2549	1930
43	Siegbert Tarrasch	2548	1930
44	Salo Flohr	2546	1930
45	J Cukierman	2546	1930
46	Vasja Pirc	2545	1930
47	Josef Lokvenc	2542	1930
48	Kurt Richter	2541	1930
49	Victor Berger	2541	1930
50	George Koltanowski	2541	1930
51	Carl Carls	2539	1930
52	Manuel Golmayo de la Torriente	2538	1930
53	Heinrich Wagner	2534	1930
54	Abraham Kupchik	2528	1930
55	Mario Monticelli	2527	1930
56	William Winter	2524	1930
